player_id,seasons_played,total_gp,total_w,total_l,career_w_pct,total_min,total_fgm,total_fga,career_fg_pct,total_fg3m,total_fg3a,career_fg3_pct,total_ftm,total_fta,career_ft_pct,total_oreb,total_dreb,total_reb,total_ast,total_tov,total_stl,total_blk,total_blka,total_pf,total_pfd,total_pts,total_plus_minus,total_nba_fantasy_pts,total_dd2,total_td3,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,first_season,last_season
109,12,812,552,260,0.67980295,17688.275,1635.0,3990.0,0.40977442,511.0,1531.0,0.33376878,825.0,1149.0,0.7180157,1224.0,2476.0,3700.0,1424.0,803.0,749.0,692.0,150.0,1926.0,225.0,4606.0,2684.0,14702.0,23.0,0.0,5.672414,4.55665,1.7536945,0.92241377,0.8522167,0.9889163,21996,22007
111,7,412,143,269,0.34708738,10840.289,1731.0,4031.0,0.429422,228.0,739.0,0.30852503,805.0,1058.0,0.76086956,726.0,1541.0,2267.0,585.0,588.0,261.0,248.0,235.0,1162.0,10.0,4495.0,-1133.0,9031.9,34.0,0.0,10.910194,5.502427,1.4199029,0.63349515,0.60194176,1.4271845,21996,22002
112,2,50,32,18,0.64,573.8033,79.0,196.0,0.4030612,26.0,77.0,0.33766234,28.0,42.0,0.6666667,65.0,76.0,141.0,45.0,50.0,14.0,6.0,12.0,103.0,1.0,212.0,14.0,458.69998,1.0,0.0,4.24,2.82,0.9,0.28,0.12,1.0,21996,21997
116,1,46,17,29,0.36956522,234.895,20.0,38.0,0.5263158,5.0,15.0,0.33333334,12.0,18.0,0.6666667,5.0,22.0,27.0,13.0,6.0,7.0,6.0,0.0,36.0,1.0,57.0,-6.0,141.9,0.0,0.0,1.2391304,0.5869565,0.2826087,0.1521739,0.13043478,0.13043478,21996,21996
120,9,595,368,227,0.6184874,17130.768,2620.0,5988.0,0.43754175,687.0,1850.0,0.37135136,1911.0,2218.0,0.861587,591.0,1130.0,1721.0,1485.0,925.0,402.0,155.0,259.0,1319.0,20.0,7838.0,1817.0,12876.7,6.0,0.0,13.173109,2.892437,2.4957983,0.6756303,0.26050422,1.5546218,21996,22004
121,6,348,205,143,0.58908045,10072.128,1908.0,4105.0,0.46479902,2.0,18.0,0.11111111,1209.0,1667.0,0.72525495,631.0,2296.0,2927.0,412.0,802.0,226.0,567.0,253.0,983.0,17.0,5027.0,411.0,10734.4,120.0,0.0,14.445402,8.410919,1.1839081,0.64942527,1.6293104,2.3045976,21996,22001
122,1,12,4,8,0.33333334,40.446667,6.0,15.0,0.4,0.0,0.0,,10.0,14.0,0.71428573,2.0,8.0,10.0,0.0,5.0,0.0,1.0,4.0,2.0,0.0,22.0,-11.0,32.0,0.0,0.0,1.8333334,0.8333333,0.0,0.0,0.083333336,0.41666666,21996,21996
123,8,264,112,152,0.42424244,5373.78,756.0,1870.0,0.40427807,51.0,173.0,0.2947977,518.0,658.0,0.78723407,104.0,383.0,487.0,1193.0,591.0,280.0,13.0,185.0,442.0,6.0,2081.0,-839.0,4742.9004,25.0,1.0,7.882576,1.844697,4.5189395,1.060606,0.049242426,2.2386363,21996,22003
124,9,614,398,216,0.64820844,18440.951,2665.0,5529.0,0.482004,47.0,195.0,0.24102564,1524.0,2248.0,0.67793596,1461.0,3352.0,4813.0,2185.0,1317.0,643.0,798.0,496.0,1830.0,70.0,6901.0,2232.0,18960.1,156.0,5.0,11.239413,7.8387623,3.558632,1.0472313,1.2996743,2.144951,21996,22004
128,2,126,72,54,0.5714286,1567.4833,223.0,555.0,0.4018018,60.0,183.0,0.32786885,92.0,113.0,0.8141593,80.0,204.0,284.0,47.0,80.0,41.0,26.0,35.0,232.0,0.0,598.0,-9.0,1130.3,0.0,0.0,4.7460318,2.2539682,0.37301588,0.32539684,0.20634921,0.63492066,21997,22000
129,1,25,6,19,0.24,873.6,149.0,339.0,0.43952802,0.0,1.0,0.0,51.0,71.0,0.7183099,44.0,167.0,211.0,48.0,70.0,23.0,48.0,28.0,76.0,2.0,349.0,-69.0,817.2,7.0,0.0,13.96,8.44,1.92,0.92,1.92,2.8,21996,21996
133,11,756,385,371,0.5092593,26252.15,3718.0,8800.0,0.4225,945.0,2613.0,0.36165327,1891.0,2392.0,0.79055184,417.0,1563.0,1980.0,3380.0,1510.0,1061.0,137.0,434.0,1912.0,201.0,10272.0,-86.0,19802.0,45.0,0.0,13.587301,2.6190476,4.4708996,1.4034392,0.18121693,1.9973545,21996,22006
134,3,126,77,49,0.6111111,4059.89,612.0,1265.0,0.48379448,94.0,229.0,0.41048035,608.0,708.0,0.8587571,89.0,344.0,433.0,922.0,325.0,131.0,20.0,61.0,204.0,0.0,1926.0,347.0,3956.6,36.0,2.0,15.285714,3.436508,7.3174605,1.0396825,0.15873016,2.579365,21996,21999
136,12,849,475,374,0.55948174,26481.246,3077.0,6595.0,0.46656558,0.0,14.0,0.0,1700.0,2094.0,0.81184334,2421.0,4448.0,6869.0,1268.0,1057.0,693.0,788.0,483.0,2530.0,316.0,7854.0,1387.0,21384.8,189.0,0.0,9.250883,8.090695,1.4935218,0.81625444,0.9281508,1.2449942,21996,22007
137,5,250,123,127,0.492,5366.538,849.0,2298.0,0.3694517,333.0,1049.0,0.3174452,395.0,534.0,0.7397004,73.0,373.0,446.0,405.0,316.0,192.0,38.0,82.0,498.0,17.0,2426.0,-297.0,3942.7002,0.0,0.0,9.704,1.784,1.62,0.768,0.152,1.264,21996,22000
138,2,54,15,39,0.2777778,422.17,33.0,109.0,0.3027523,0.0,0.0,,24.0,34.0,0.7058824,31.0,55.0,86.0,12.0,31.0,18.0,15.0,13.0,68.0,1.0,90.0,-60.0,279.2,0.0,0.0,1.6666666,1.5925926,0.22222222,0.33333334,0.2777778,0.5740741,21998,21999
